channel_id,handle,title,country,industry,category,logo_url,backdrop_url,subscriber_count,video_count,view_count,description
"UCi8vPG6uMxIjoZMhLLX2BkQ","@nollywoodpicturestv","Nollywoodpicturestv","Ghana","Ghallywood","Film","https://yt3.ggpht.com/kCl9CxQ8PtGP2Zfv73RS0y2anddHUzip9J3EN9x-r1THXIVW90rVDtFl7lG_PZpY_0pj46KzPKE=s800-c-k-c0x00ffffff-no-rj","https://yt3.googleusercontent.com/cc1Rpg8tvuflv9c9BsCVlVMEhlCjdIgxYOtWAy81yNMc455bBw5tN1CHAmgTmWjKs-ZYt4BZ","2950000","10459","986601980","Nollywood Pictures Tv is a video company of Nollymovies Entertainment Ltd. founded in 2012, the company is a consortium of Nigerian filmmakers, seeking a more advanced and mainstream avenue of bringing nollywood entertainment to the digital audience.
The company enlists some of the major players who have contributed to the growth of the 2nd largest film industry in the world, with partners in the UK and the USA

Enjoy the finest of new and classic Nollywood!! 
We are Number One Home For Nigerian Nollywood and Ghanaian Movies on YouTube where we serve you the finest in Nollywood Movies Yoruba Movies, Music and Comedy.also watch your favorite stars like Mercy Johnson,Nse Ikpe Etim, Yul Edochie, Tonto Dikeh, Patience Ozokwo,Funke Akindele, Omotola Jolade,Genevieve Nnaji,Nuella Njibuigbo,Mike Ezuruonye,Ngozi Ezeonu,Yvonne Nelson,Angela Okorie,Chacha Eke, Rita Dominic, Desmond Elliot,Pete Edochie,Ini Edo.we are the best

Click Here To Subscribe To Our Channel::: http://bit.ly/1qV5g8h"
"UCThviXLHvH8VwqxQEa4vZaw","@mauricesamtv","Maurice Sam TV","Ghana","Ghallywood","Entertainment","https://yt3.ggpht.com/fUYQLE5qt0Z8klKZUBni6eY4hXehq-38pIoV-yKV6MviDmg68LJ9I3KxO0JJcWUvDNw_y3gr=s800-c-k-c0x00ffffff-no-rj","https://yt3.googleusercontent.com/tiwjC8GvkpPLFC_Wm_YiS_EAE2q2FSLbLREcQ8PQTvvHEyETRrMpgrV0yTDt66nuxn9-OZ_WOA","2610000","203","542623181","Serving you BANGERS Only "
"UCU7_oBiCyGbtWQ1oJq7XtOw","@preciouspaultv","Precious Paul Tv","Ghana","Ghallywood","Film","https://yt3.ggpht.com/ITZ1_MY6-namL4j451lECYCp2b3gem-2S43YiQ4iTJ48-q8Ou--TOde_YYHweiQ11cFCDs_7WVw=s800-c-k-c0x00ffffff-no-rj","https://yt3.googleusercontent.com/8faROoW3Shhz-14k7IQauk17ZmXt4V8Eso42xg1AKqEnKUwl2LIHxiuS2z6SVPLj60godyBxTQ","1070000","613","362452744","Precious Paul Tv is a top visionary film making company that is dedicated to presenting the best quality Nollywood movies, Ghallywood movies, Kenyan movies, Liberian movies and  many more to the entire global community. We have a vision to become a theater home with a difference.
 
No matter your age, language, nation and religion you can experience a memorable moment of entertainment on Precious Paul Tv. This is your final destination for free Nollywood/ Ghallywood  movies ranging from Family movies, Comedy movies, Drama movies, Epic movies, Romance movies, Christian religious movies as well as soaps.
Follow this link to subscribe: https://www.youtube.com/channel/UCU7_oBiCyGbtWQ1oJq7XtOw

With a free SUBSCRIPTION  you'll have access to unlimited genre of great movie contents.
Featuring in our movies are top trending movie stars like Precious Paul, Mercy Johnson,Yul Edochie, Tonto Dikeh, Patience Ozokwo,Funke Akindele, Omotola Jolade,Genevieve Nnaji ,Mike Ezuruonye,Ngozi Ezeonu 

 
"
"UCoMmHHH65XqnS-nFcGjjbIg","@tvnolly","NollywoodTVNOLLY","Ghana","Ghallywood","Film","https://yt3.ggpht.com/ytc/AIdro_lsO0mBi23MOEBbyzWN6MVEOKQ8719Oh8BzKgsj57_K=s800-c-k-c0x00ffffff-no-rj","https://yt3.googleusercontent.com/oF5JDJNG326edSSV9kvFuNZNkviLM8Nf41o78sMTq2ueY9Ca87EaszX8JK1zEXLk0-McnlPItQ","879000","1146","89123789","Nollywood tvNolly is your online destination for Latest Nigerian movies & African movies &  Nollywood TV Series. 
We have brand new 2025 Latest Nigerian Nollywood  Movies, classic nollywood, nigerian comedy, Yorubamovies,  epic nigerian movies as well as nollywood movie series and Ghallywood movies.
 
Watch  Nollywood movies, Ghallywood movies,  and TV Series on #NollywoodTVNOLLY

Nollywood Entertainment Channel where hot nollywood actors are featured: Mercy Johnson, Regina Daniels, Fred Leonard, Ken Erics, Ruth Kadiri, AkiandPawPaw, Rita Dominic, Nonso Diobi, Omotola Jolade
Others are Genevieve Nnaji, Yul Edochie, Nadia Buari, Jackie Appiah, Majid Michel, James Gardener, Tonto Dike, John Dumelo, Funke Akindele

Yoruba movies with Star actors like Odunlade Adekola, Yinka Quadri, Taiwo Hassan, Jenifa, Lateef Adedimeji, Shaffi Bello, Regina Chukwu, Femi Adebayo, Mercy Aigbe
#tvnollymovies #LatestNigerianMovies #Africanmovies #Ghanamovies #youtubenigeria  #2025nigerianmovies "
"UCeaw5Pjz9B8IHKjeilf807A","@mercyjohnsonokojietv","Mercyjohnsonokojie TV","Ghana","Ghallywood","Entertainment","https://yt3.ggpht.com/Oo0E9shA1IoJGT2OOgqrZwoB4xB2tBauMjMOCKIp5uxswR5qH-vcwQahRoiu-z75JqLZFc_E=s800-c-k-c0x00ffffff-no-rj","https://yt3.googleusercontent.com/iFXdyt1RPGqr5xY1q2xKSjNJOHY5yS6lACRTsreod370MheyJZMLHDvjn3pKidzljYIqgZpaRS8","722000","115","82664731","Official home of Mercy Johnson Okojie movies, lifestyle, and Nollywood entertainment”

This allows you to post:

Full movies 🎬
Clips from her movies 🎞️
Behind-the-scenes 🎥
"
"UCZmcE97PQqra4sQhvxUvBTA","@trendingnollywoodmoviestv","Trending Nollywood MoviesTV","Ghana","Ghallywood","Entertainment","https://yt3.ggpht.com/SwH88qzG1V9VE-rcXMgDMB2f_fQsY_9xPR7-GRC_kLuS8Xj6aQRAsj9fmlMatLMt7nrkpbAaQA=s800-c-k-c0x00ffffff-no-rj","https://yt3.googleusercontent.com/HElLocH0qAIXA_shMaB-EHaXPcBku2W1YQKAdbts2QGG0w-CR_KcmeMZfhxinBmahifibSSjuA","716000","7528","104938119","Trending Nollywood Movies Tv is a video company of Nollymovies Entertainment Ltd. founded in 2012, the company is a consortium of Nigerian filmmakers, seeking a more advanced and mainstream avenue of bringing nollywood entertainment to the digital audience.
The company enlists some of the major players who have contributed to the growth of the 2nd largest film industry in the world, with partners in the UK and the USA

Enjoy the finest of new and classic Nollywood!! 
We are Number One Home For Nigerian Nollywood and Ghanaian Movies on YouTube where we serve you the finest in Nollywood Movies Yoruba Movies, Music and Comedy.also watch your favorite stars like Mercy Johnson,Fredrick Leonard, Yul Edochie, Destiny Etiko, Chizzy Alichi Funke Akindele, Uju Okoli ,Luchy Donald, Flashboy ,Ngozi Ezeonu,,Angela Okorie ,Chacha Eke, Onny Michael, Ken Erics Peggy Ovire ,Ini Edo. we are the best"
"UCeuP2ebXHRg1arIbyvyZ66g","@akilmediamovies","AKIL MEDIA ","Ghana","Ghallywood","Entertainment","https://yt3.ggpht.com/RDUOIZSoTAJpuOvi1fMkG20ylc62lp3wV3tFzVdY11p2pLVUaPrf_NKc3y5vLJPQeepvDMIPFA=s800-c-k-c0x00ffffff-no-rj","https://yt3.googleusercontent.com/bWOaOyojwbOhUbjQKSGyAMCeeMrko1J3_qjnlkBtIWZF-4fbQB85WnA-h8LYWA-pqN1ViK4Abpg","711000","152","45685771","Welcome to AKIL MEDIA — True Stories That Teach, Heal & Inspire.
We create emotional African movies that reflect real life, relationships, and lessons that help people grow.
Our mission is to inspire respect, love, and better decisions through storytelling.

Support Akil Media with any amount to help us grow. Thank you for your love ❤️”
"
"UCKlgbbF9wphTKATOWiG5jPQ","@adomtvgh","Adom TV","Ghana","Kumawood","Politics","https://yt3.ggpht.com/VgzxWT4_kRUh5G8Fa-a5EGUG99hfZVYqXmLtT2C7m-znaDVOIrDJHbywu2E2FnnTXP7EToYIKw=s800-c-k-c0x00ffffff-no-rj","https://yt3.googleusercontent.com/_XhbcPG7UoiER1ZuHlEVSf12dYMtRd-MYl4881lO7XwDBCJ6QsudcKUAHtxjsol21SiWxdH7OQ","704000","73572","84917280",""
"UC2jZ6apgKLjAH6pz1wNAopw","@oneghanatv","ONE GHANA TV","Ghana","Ghallywood","Society","https://yt3.ggpht.com/ytc/AIdro_mCLYAzunYCi6OalWfNbPbo_oUL4Qz5nKUbwkccCkT4ABU=s800-c-k-c0x00ffffff-no-rj","https://yt3.googleusercontent.com/wTaMBZaRMM3FmZhbolZq6XLzap5uysAqd0WZ8db7YNecNCYz3RXdDoCoeBt4hOxXHfoNDkcs","659000","3817","108993282","ONE GHANA TV
Whatsapp..00233554399031

Channel Email: oneghanapagetv@gmail.com

ONE GHANA TV Gives you the best entertainment, political and anything social media trending news.

website: https://oneghananews.com/
                www.oneloveghana.com

**********
#ghana #Ghanacelebrities​ #GhanaEntertainment​ #Ghanacelebs​ #GhpageTV​ #GhanaMusic​ #CelebNews​ #CelebGossips​ #HotGossip​ #GhanaCelebGossips​ #GhanaHotGossip​ #Ghanamovies​ #YawaOfTheDay​ #Ghananews​ #Ghpage​ #1ontrending​ #TrendingVideos​ #ViralVideos​ #Trending​ #GhanaCelebNews​ #Celebrities​ #ghanapolitics ​ #BeautifulLadies #ghanaentertainment #ghananews 

Subscribe to ONE GHANA TV
This channel is managed by MENTA MUSIC ENTERTAINMENT

"
"UCJHHWTXbqFBFEP3QJa_zo1A","@onyenzetvmovies","NOLLYWOOD CLASSICTV","Ghana","Ghallywood","Entertainment","https://yt3.ggpht.com/JqIp0m9DYfX3JJG7KlxJxcPXXRs0lm8BrqxeyTf78-u0xlIdyH8Qr34UI9jGrb9C_aaoopoPUQ=s800-c-k-c0x00ffffff-no-rj","https://yt3.googleusercontent.com/xn7a0h9ougnU485sGK_bFugS7wOcKFyA8Ml3c5SsmFIrkRObqz4BqQyfCWp0UJ11fSWhTKIw","635000","850","85285887","NOLLYWOOD CLASSICTV is a channel designed to entertain you with lot of beautiful Nigerian Movies, ghana movies, African movies at large. 
subscribe and enjoy the best of your favorite Nollywood super stars, actors and actress. We  are committed to bringing you best of the thrillers and full hd movies.
Click the link below to Subscribe, and don't forget to turn on notifications.
https://www.youtube.com/channel/UCJHHWTXbqFBFEP3QJa_zo1A"
